game_no,Home_team,Away_team,half_time_score,home_score,away_score,home_odds,draw_odds,away_odds,game_id,outcome,home_wins,draws_no,away_wins,game_count,1/2
1,ARS,FUL,2-1,5,1,1.45,4.85,6.5,0,1,5,0,1,6,1
2,AST,CRY,0-0,0,2,1.75,4.05,4.45,1,2,3,0,1,4,1
3,BRE,SHU,0-1,2,1,1.83,3.65,4.45,2,1,4,0,0,4,1
4,CHE,NEW,2-0,3,1,2.07,3.85,3.3,3,1,4,0,0,4,1
5,EVE,BOU,2-0,2,1,1.74,3.8,4.8,4,1,4,4,0,8,1
6,LUT,WHU,0-0,0,3,3.55,3.65,2.04,5,2,1,1,5,7,1
7,MCI,LIV,3-1,4,1,1.8,4.4,3.8,6,1,3,2,0,5,1
8,MUN,NOT,2-0,2,1,1.41,5.25,6.75,7,1,7,0,0,7,1
9,TOT,BHA,1-0,1,0,2.18,3.75,3.15,8,1,4,1,2,7,1
10,WOL,BUR,0-0,0,1,1.91,3.65,4.0,9,2,1,2,3,6,1
1,AST,MCI,0-0,0,0,2.5,3.8,2.6,10,x,3,2,2,7,0
2,BOU,MUN,1-1,1,2,4.15,4.1,1.78,11,2,2,1,2,5,1
3,BRE,NEW,1-1,2,3,2.95,3.5,2.4,12,2,2,1,2,5,1
4,CRY,BUR,0-0,3,0,1.79,3.85,4.35,13,1,4,3,2,9,1
5,EVE,CHE,0-1,2,4,2.9,3.55,2.4,14,2,1,1,3,5,1
6,FUL,WOL,0-0,0,0,2.35,3.55,3.0,15,x,3,3,1,7,0
7,LUT,NOT,0-1,1,1,2.4,3.65,2.85,16,x,4,1,1,6,0
8,SHU,BHA,0-0,0,1,3.95,3.7,1.92,17,2,1,1,3,5,1
9,TOT,LIV,0-0,0,1,2.1,4.1,3.05,18,2,2,2,3,7,1
10,WHU,ARS,0-3,0,5,2.6,3.75,2.55,19,2,3,2,2,7,1
1,ARS,LUT,0-0,1,1,1.35,5.25,8.5,20,x,6,1,0,7,0
2,AST,BHA,1-0,3,0,2.22,3.7,3.1,21,1,2,1,1,4,1
3,BOU,MCI,0-1,0,2,4.85,4.2,1.66,22,2,1,2,3,6,1
4,BRE,BUR,0-1,1,1,1.85,3.65,4.35,23,x,3,1,3,7,0
5,CHE,LIV,1-2,5,4,2.0,4.15,3.3,24,1,2,1,1,4,1
6,CRY,EVE,2-0,4,1,2.25,3.55,3.15,25,1,5,1,0,6,1
7,MUN,WOL,2-0,3,1,1.57,4.5,5.5,26,1,6,1,1,8,1
8,NEW,FUL,0-0,0,0,1.53,4.5,5.75,27,x,5,1,2,8,0
9,SHU,WHU,0-2,1,3,3.4,3.6,2.12,28,2,0,2,3,5,1
10,TOT,NOT,3-0,3,0,1.48,4.8,6.0,29,1,2,4,1,7,1
1,AST,LIV,0-0,0,1,2.14,4.05,3.05,30,2,2,1,2,5,1
2,BHA,BUR,1-0,3,1,1.48,4.5,6.5,31,1,4,0,0,4,1
3,BOU,TOT,1-0,2,1,3.9,3.8,1.89,32,1,3,1,3,7,1
4,CHE,ARS,0-0,0,0,2.19,3.85,3.05,33,x,6,1,2,9,0
5,EVE,MCI,0-0,0,0,3.25,3.7,2.14,34,x,3,2,3,8,0
6,FUL,BRE,0-1,1,1,2.5,3.45,2.8,35,x,2,3,1,6,0
7,LUT,WOL,0-0,0,0,2.8,3.45,2.55,36,x,2,2,2,6,0
8,MUN,CRY,2-0,3,1,1.62,4.45,4.85,37,1,3,3,0,6,1
9,NOT,SHU,1-1,3,1,2.03,3.7,3.5,38,1,7,0,2,9,1
10,WHU,NEW,0-0,2,1,2.4,3.7,2.75,39,1,1,1,2,4,1
1,ARS,WOL,0-0,0,0,1.55,4.45,5.75,40,x,2,2,0,4,0
2,AST,CHE,0-0,0,0,2.3,3.75,2.95,41,x,0,3,3,6,0
3,BHA,FUL,4-1,8,1,1.55,4.4,5.75,42,1,2,1,1,4,1
4,BUR,LIV,1-1,1,1,3.8,4.1,1.86,43,x,0,1,4,5,0
5,CRY,LUT,0-1,0,1,1.7,4.0,4.8,44,2,3,1,1,5,1
6,EVE,TOT,2-2,3,2,2.75,3.55,2.5,45,1,2,3,2,7,1
7,MUN,MCI,1-2,2,3,2.3,4.05,2.75,46,2,1,2,2,5,1
8,NOT,NEW,2-0,2,1,3.6,3.95,1.94,47,1,2,1,4,7,1
9,SHU,BOU,0-0,0,0,2.18,3.45,3.35,48,x,2,4,1,7,0
10,WHU,BRE,1-0,2,0,1.91,3.65,4.0,49,1,6,1,1,8,1
