game_no,Home_team,Away_team,half_time_score,home_score,away_score,home_odds,draw_odds,away_odds,outcome,home_wins,draws_no,away_wins,game_count,game_id
1,AST,BOU,0-1,1,2,1.47,4.55,6.75,2,2,0,1,3,0
2,AST,CRY,1-1,3,2,1.75,4.05,4.45,1,2,0,0,2,1
3,ARS,BHA,0-1,1,2,1.99,3.85,3.5,2,4,0,2,6,2
4,BHA,BUR,2-0,2,0,1.48,4.5,6.5,1,2,0,0,2,3
5,BHA,NOT,0-2,0,3,1.48,4.7,6.25,2,1,1,1,3,4
6,AST,CHE,0-2,1,3,2.3,3.75,2.95,2,1,0,1,2,5
7,ARS,FUL,2-0,3,1,1.45,4.85,6.5,1,1,1,0,2,6
8,AST,FUL,1-0,3,2,1.58,4.35,5.5,1,1,0,0,1,7
9,ARS,LUT,4-0,6,2,1.35,5.25,8.5,1,1,0,0,1,8
10,BHA,BRE,1-1,2,1,1.75,3.85,4.7,1,1,2,1,4,9
1,BHA,WOL,0-1,1,1,1.65,4.05,5.0,x,0,3,0,3,10
2,ARS,SHU,0-0,0,0,1.39,5.0,7.75,x,2,1,0,3,11
3,ARS,WHU,0-1,1,1,1.79,4.05,4.15,x,0,1,0,1,12
4,ARS,NEW,2-0,2,0,1.98,3.95,3.5,1,2,0,1,3,13
5,ARS,SHU,2-0,3,0,1.39,5.0,7.75,1,2,1,0,3,11
6,ARS,BUR,1-0,3,0,1.4,5.0,7.5,1,1,0,0,1,14
7,ARS,FUL,0-0,0,0,1.45,4.85,6.5,x,1,1,0,2,6
8,AST,NOT,0-1,1,3,1.51,4.65,6.0,2,2,0,1,3,15
9,ARS,BHA,3-0,5,0,1.99,3.85,3.5,1,4,0,2,6,2
10,ARS,MCI,1-2,2,4,2.2,3.95,2.95,2,1,1,1,3,16
1,ARS,WOL,0-0,2,0,1.55,4.45,5.75,1,1,0,0,1,17
2,BOU,MCI,1-0,1,2,4.85,4.2,1.66,2,1,1,2,4,18
3,ARS,MCI,1-1,2,1,2.2,3.95,2.95,1,1,1,1,3,16
4,ARS,AST,0-3,1,3,1.92,3.95,3.65,2,1,0,1,2,19
5,AST,MUN,2-1,4,2,2.21,3.95,2.95,1,2,0,0,2,20
6,ARS,MCI,1-1,1,1,2.2,3.95,2.95,x,1,1,1,3,16
7,ARS,BHA,1-0,1,0,1.99,3.85,3.5,1,4,0,2,6,2
8,AST,TOT,0-1,1,1,2.15,3.8,3.15,x,1,1,1,3,21
9,BOU,CHE,1-2,1,3,4.2,3.85,1.82,2,1,0,1,2,22
10,BHA,LUT,0-1,2,2,1.43,4.75,7.25,x,2,1,0,3,23
1,ARS,NOT,3-1,3,1,1.39,5.25,7.25,1,2,0,0,2,24
2,BHA,AST,0-2,1,3,2.08,3.75,3.35,2,1,0,1,2,25
3,AST,BUR,1-0,2,0,1.51,4.45,6.25,1,1,0,0,1,26
4,BHA,BRE,0-0,0,0,1.75,3.85,4.7,x,1,2,1,4,9
5,BHA,ARS,0-0,0,1,2.3,3.75,2.95,2,2,0,1,3,27
6,ARS,BHA,0-0,1,0,1.99,3.85,3.5,1,4,0,2,6,2
7,AST,BRE,0-0,0,0,2.14,4.05,3.05,x,2,2,0,4,28
8,ARS,BHA,0-0,1,3,1.99,3.85,3.5,2,4,0,2,6,2
9,ARS,LIV,0-1,1,1,1.91,4.25,3.5,x,1,1,0,2,29
10,BOU,MUN,3-2,3,3,4.15,4.1,1.78,x,0,1,0,1,30
1,AST,BOU,1-1,3,1,1.47,4.55,6.75,1,2,0,1,3,0
2,BHA,CHE,1-0,3,1,2.21,3.7,3.1,1,1,0,0,1,31
